assay,model,taxon,sel,MSA_Neff_L_category,seq_len,rho,cooks_d,leverage,high_influence
Q6WV12_9MAXI_Somermeyer_2022,ESM2 (15B),Eukaryote,Activity,Low,222,-0.022,0.014347322963823414,0.04894382114418891,True
HCP_LAMBD_Tsuboyama_2023_2L6Q,ESM2 (650M),Virus,Stability,Medium,55,0.686,0.01307383416432629,0.047711580856130004,True
SCN5A_HUMAN_Glazer_2019,ESM2 (15B),Human,OrganismalFitness,Medium,2016,0.125,0.012930960009215427,0.05337792525437909,True
ENVZ_ECOLI_Ghose_2023,ESM2 (650M),Prokaryote,Activity,High,60,0.172,0.012457067814635146,0.056196152724969715,True
ENVZ_ECOLI_Ghose_2023,ESM2 (15B),Prokaryote,Activity,High,60,0.113,0.01236351334165865,0.05735425187509215,True
Q8WTC7_9CNID_Somermeyer_2022,ESM2 (650M),Eukaryote,Activity,Low,238,-0.025,0.012220486616182361,0.04583443865243952,True
POLG_HCVJF_Qi_2014,ESM2 (15B),Virus,OrganismalFitness,Medium,3033,0.078,0.012103112825777383,0.06944774177285025,True
SCN5A_HUMAN_Glazer_2019,ESM2 (650M),Human,OrganismalFitness,Medium,2016,0.183,0.01197937065411861,0.052300116236714295,True
TADBP_HUMAN_Bolognesi_2019,ESM2 (650M),Human,OrganismalFitness,Low,414,-0.12,0.011150482900246858,0.025552458434467715,True
SPA_STAAU_Tsuboyama_2023_1LP1,ESM2 (650M),Prokaryote,Stability,Medium,55,0.005,0.011019098352552853,0.026658564935741584,True
KCNE1_HUMAN_Muhammad_2023_expression,ESM2 (15B),Human,Expression,Medium,129,0.073,0.011008623693337476,0.06710606363853354,True
Q8WTC7_9CNID_Somermeyer_2022,ESM2 (15B),Eukaryote,Activity,Low,238,0.034,0.010278016868138024,0.046779001969958975,True
Q6WV12_9MAXI_Somermeyer_2022,ESM2 (650M),Eukaryote,Activity,Low,222,0.01,0.010238391738948412,0.04795554571878066,True
TAT_HV1BR_Fernandes_2016,ESM2 (15B),Virus,OrganismalFitness,High,86,0.044,0.009770926088931098,0.06277558717014328,True
DLG4_RAT_McLaughlin_2012,ESM2 (650M),Eukaryote,Binding,Low,724,0.543,0.009577268121831612,0.08635286712202422,True
PRKN_HUMAN_Clausen_2023,ESM2 (15B),Human,Expression,Low,465,0.663,0.00933523790185405,0.05558653912244482,True
CD19_HUMAN_Klesmith_2019_FMC_singles,ESM2 (650M),Human,Binding,Low,556,0.05,0.009311474247737843,0.06694561235296508,True
CP2C9_HUMAN_Amorosi_2021_activity,ESM2 (15B),Human,Binding,High,490,0.62,0.009305617066057169,0.08747059508706376,True
SPA_STAAU_Tsuboyama_2023_1LP1,ESM2 (15B),Prokaryote,Stability,Medium,55,0.02,0.009163809390536737,0.027207948833010538,True
A0A247D711_LISMN_Stadelmann_2021,ESM2 (15B),Prokaryote,Activity,Low,87,0.084,0.009161203992793543,0.0975802787316532,True
A0A1I9GEU1_NEIME_Kennouche_2019,ESM2 (650M),Prokaryote,Activity,Medium,161,0.03,0.009070683083699902,0.03690946517937192,True
A0A1I9GEU1_NEIME_Kennouche_2019,ESM2 (15B),Prokaryote,Activity,Medium,161,0.025,0.008709349656902286,0.037670101240436515,True
OTU7A_HUMAN_Tsuboyama_2023_2L2D,ESM2 (650M),Human,Stability,High,42,0.319,0.0084535303272153,0.039061931445922626,True
CP2C9_HUMAN_Amorosi_2021_activity,ESM2 (650M),Human,Binding,High,490,0.679,0.00822699897482113,0.0857043856340725,True
RASK_HUMAN_Weng_2022_binding-DARPin_K55,ESM2 (650M),Human,Binding,High,188,0.652,0.008093874199158389,0.08197366726747456,True
POLG_PESV_Tsuboyama_2023_2MXD,ESM2 (15B),Virus,Stability,High,53,0.084,0.007931001897877018,0.04418630340444212,True
D7PM05_CLYGR_Somermeyer_2022,ESM2 (650M),Eukaryote,Activity,Low,235,0.05,0.007906963184825732,0.045003588187724014,True
PHOT_CHLRE_Chen_2023,ESM2 (15B),Eukaryote,Activity,High,118,0.758,0.007794647664320298,0.06307464245381987,True
SPIKE_SARS2_Starr_2020_expression,ESM2 (15B),Virus,Expression,Medium,1273,0.072,0.007769166844469278,0.09085209671183042,True
KCNE1_HUMAN_Muhammad_2023_expression,ESM2 (650M),Human,Expression,Medium,129,0.106,0.007660572373502401,0.06575105554886136,True
ESTA_BACSU_Nutschel_2020,ESM2 (650M),Prokaryote,Stability,High,212,0.3,0.007429690211980572,0.0506757420741373,True
RPC1_LAMBD_Li_2019_high-expression,ESM2 (650M),Virus,Activity,High,237,0.549,0.0074149022321915005,0.0553474091832735,True
A0A247D711_LISMN_Stadelmann_2021,ESM2 (650M),Prokaryote,Activity,Low,87,0.066,0.007112840610798606,0.09560993417700811,True
