check,beta,ci_lo,ci_hi,p,attenuation_pct,n
confirmatory (cluster UniProt),-0.017212639852564257,-0.03037554958179666,-0.004049730123331853,0.010378075564349654,-12.7,651
R1 HC3 robust SE,-0.017212639852564257,-0.04879128720780136,0.014366007502672848,0.2853754237599585,-12.7,651
R2 cluster by assay,-0.017212639852564257,-0.02888656899829172,-0.0055387107068367945,0.003853994281247274,-12.7,651
R3 drop Eukaryote,-0.019180781048126858,-0.0346452957080793,-0.003716266388174412,0.015058813814181622,-25.6,531
R3 drop Human,-0.016563756686778418,-0.035515875565661756,0.0023883621921049203,0.08671849106886702,-8.4,363
R3 drop Prokaryote,-0.017745714203334748,-0.03257706185683543,-0.0029143665498340635,0.019022089368712462,-16.2,501
R3 drop Virus,-0.015952314179695847,-0.02882081958518965,-0.0030838087742020414,0.015113419017091439,-4.4,558
R4 drop Activity,-0.019464551619893022,-0.035350454082895666,-0.003578649156890379,0.016328499618167715,-27.4,522
R4 drop Binding,-0.01706401083083529,-0.031261927123452646,-0.0028660945382179333,0.018491994812599957,-11.7,612
R4 drop Expression,-0.01717715161965912,-0.03144462037817177,-0.0029096828611464686,0.01829091977624519,-12.4,597
R4 drop OrganismalFitness,-0.010724437345420154,-0.02453256588306576,0.0030836911922254486,0.12794486784921383,29.8,420
R4 drop Stability,-0.020170334634796963,-0.03365913455362573,-0.006681534715968199,0.0033807789479467026,-32.0,453
R5 drop Cook's D>4/n (43 obs),-0.013310126069605323,-0.032001473984443404,0.005381221845232761,0.16280721651154595,12.9,608
R6 assay fixed effects,-0.01527576017255378,-0.026987212144756342,-0.003564308200351217,0.010574111878293746,-0.0,651
