check,beta,vs_esm2_pct,p,ci_lo,ci_hi,n
confirmatory (cluster UniProt),-0.028286094455806876,-85.2,0.011962460796466484,-0.05034507445450631,-0.006227114457107441,651
R1 HC3 robust SE,-0.028286094455806876,-85.2,0.3639385832979972,-0.08935074488387053,0.032778555972256776,651
R2 cluster by assay,-0.028286094455806876,-85.2,0.010576349800083502,-0.04997279114988686,-0.00659939776172689,651
R3 drop Eukaryote,-0.028364880834940123,-85.7,0.023754590051025586,-0.052952360541917876,-0.003777401127962366,531
R3 drop Human,-0.016055100940967185,-5.1,0.30273597447200207,-0.04658868355331125,0.014478481671376876,363
R3 drop Prokaryote,-0.027545573926831456,-80.3,0.05733805818496454,-0.05594964936795014,0.0008585015142872285,501
R3 drop Virus,-0.036986668796387366,-142.1,0.00045806451594136786,-0.05767428368589142,-0.01629905390688331,558
R4 drop Activity,-0.02288057289145793,-49.8,0.06637446048887873,-0.04730751944762179,0.0015463736647059294,522
R4 drop Binding,-0.027897521147176408,-82.6,0.024444703864837977,-0.05219819354983844,-0.00359684874451437,612
R4 drop Expression,-0.03148349603571179,-106.1,0.013332664056319275,-0.056417864912191695,-0.0065491271592318795,597
R4 drop OrganismalFitness,-0.03216082875907725,-110.5,0.0041599037743691265,-0.054156301498531664,-0.010165356019622835,420
R4 drop Stability,-0.02399905160769918,-57.1,0.07947942784612645,-0.050820563865511315,0.0028224606501129554,453
R5 drop Cook's D>4/n (36 obs),-0.036948705438939314,-141.9,0.008959685595051536,-0.06465701905842461,-0.009240391819454012,615
R6 assay fixed effects,-0.0031365080272093594,79.5,0.7702789820362539,-0.024188673630432762,0.017915657576014044,651
