model,segment,source,beta_inject,power,mde
progen2,upper,rho ~ lp + C(assay),0.0,0.0085,
progen2,upper,rho ~ lp + C(assay),-0.004,0.034,
progen2,upper,rho ~ lp + C(assay),-0.006,0.0545,
progen2,upper,rho ~ lp + C(assay),-0.008,0.0955,
progen2,upper,rho ~ lp + C(assay),-0.01,0.15,
progen2,upper,rho ~ lp + C(assay),-0.012,0.231,
progen2,upper,rho ~ lp + C(assay),-0.014,0.323,
progen2,upper,rho ~ lp + C(assay),-0.0153,0.3855,
progen2,upper,rho ~ lp + C(assay),-0.016,0.4205,
progen2,upper,rho ~ lp + C(assay),-0.018,0.522,
progen2,upper,rho ~ lp + C(assay),-0.02,0.619,
progen2,upper,rho ~ lp + C(assay),-0.022,0.7085,
progen2,upper,rho ~ lp + C(assay),-0.024,0.775,
progen2,upper,rho ~ lp + C(assay),-0.0245,0.7915,
progen2,upper,rho ~ lp + C(assay),-0.026,0.8405,
progen2,upper,rho ~ lp + C(assay),-0.028,0.8905,
progen2,upper,rho ~ lp + C(assay),-0.03,0.9305,
progen2,upper,rho ~ lp + C(assay),-0.032,0.954,
progen2,upper,rho ~ lp + C(assay),-0.034,0.9735,
progen2,upper,rho ~ lp + C(assay),-0.036,0.984,
progen2,upper,rho ~ lp + C(assay),-0.038,0.9905,
progen2,upper,rho ~ lp + C(assay),-0.04,0.9945,
progen2,upper,rho ~ lp + C(assay),,,-0.024760204081632656
progen2,upper,rho ~ lp + lp:ld + C(assay),0.0,0.0075,
progen2,upper,rho ~ lp + lp:ld + C(assay),-0.004,0.034,
progen2,upper,rho ~ lp + lp:ld + C(assay),-0.006,0.055,
progen2,upper,rho ~ lp + lp:ld + C(assay),-0.008,0.094,
progen2,upper,rho ~ lp + lp:ld + C(assay),-0.01,0.15,
progen2,upper,rho ~ lp + lp:ld + C(assay),-0.012,0.2335,
progen2,upper,rho ~ lp + lp:ld + C(assay),-0.014,0.3235,
