assay,model,rho,params,DMS_id,MSA_Neff_L,MSA_Neff_L_category,UniProt_ID,taxon,seq_len,sel,lp,ld,llen,z_llen,cooks_d,leverage,high_influence
A0A140D2T1_ZIKV_Sourisseau_2019,ESM2 (650M),0.213,650000000.0,A0A140D2T1_ZIKV_Sourisseau_2019,1.63,Medium,A0A140D2T1_ZIKV,Virus,3423,OrganismalFitness,-0.6757952668298763,-1.0959309229875838,1.1917095878953372,2.475178810875862,0.00022427719392704442,0.05746826866269279,False
A0A192B1T2_9HIV1_Haddox_2018,ESM2 (650M),0.08,650000000.0,A0A192B1T2_9HIV1_Haddox_2018,42.81,Medium,A0A192B1T2_9HIV1,Virus,852,OrganismalFitness,-0.6757952668298763,0.323426700442768,0.5877422835241601,1.2207397349248823,0.0029320593583667845,0.03371125096051406,False
A0A1I9GEU1_NEIME_Kennouche_2019,ESM2 (650M),0.03,650000000.0,A0A1I9GEU1_NEIME_Kennouche_2019,14.07,Medium,A0A1I9GEU1_NEIME,Prokaryote,161,Activity,-0.6757952668298763,-0.1598244299567957,-0.13587143521069045,-0.2822047425419639,0.009070683083699902,0.03690946517937192,True
A0A247D711_LISMN_Stadelmann_2021,ESM2 (650M),0.066,650000000.0,A0A247D711_LISMN_Stadelmann_2021,0.1,Low,A0A247D711_LISMN,Prokaryote,87,Activity,-0.6757952668298763,-2.3081185273915414,-0.40317805862392153,-0.837400150046994,0.007112840610798606,0.09560993417700811,True
A0A2Z5U3Z0_9INFA_Doud_2016,ESM2 (650M),0.507,650000000.0,A0A2Z5U3Z0_9INFA_Doud_2016,16.01,Medium,A0A2Z5U3Z0_9INFA,Virus,565,OrganismalFitness,-0.6757952668298763,-0.10372719547224163,0.4093511365768987,0.8502216225788034,0.0030363834235588544,0.028705574083684432,False
A0A2Z5U3Z0_9INFA_Wu_2014,ESM2 (650M),0.464,650000000.0,A0A2Z5U3Z0_9INFA_Wu_2014,16.01,Medium,A0A2Z5U3Z0_9INFA,Virus,565,OrganismalFitness,-0.6757952668298763,-0.10372719547224163,0.4093511365768987,0.8502216225788034,0.0020596085760403704,0.02870557408368444,False
A4_HUMAN_Seuma_2022,ESM2 (650M),0.431,650000000.0,A4_HUMAN_Seuma_2022,0.08,Low,A4_HUMAN,Human,770,Stability,-0.6757952668298763,-2.4050285403995977,0.5437934139299418,1.129458006652751,5.0066918392034606e-05,0.07912447549397439,False
A4D664_9INFA_Soh_2019,ESM2 (650M),0.149,650000000.0,A4D664_9INFA_Soh_2019,1.7,Medium,A4D664_9INFA,Virus,759,OrganismalFitness,-0.6757952668298763,-1.0776696060132676,0.5375444646529401,1.1164789495084773,0.0002444739378354226,0.030846683282443502,False
A4GRB6_PSEAI_Chen_2020,ESM2 (650M),0.738,650000000.0,A4GRB6_PSEAI_Chen_2020,120.61,High,A4GRB6_PSEAI,Prokaryote,266,OrganismalFitness,-0.6757952668298763,0.7732647900707437,0.08218432538852705,0.17069670568571016,0.0033119641868551057,0.02670611602829608,False
AACC1_PSEAI_Dandage_2018,ESM2 (650M),0.49,650000000.0,AACC1_PSEAI_Dandage_2018,985.3,High,AACC1_PSEAI,Prokaryote,177,OrganismalFitness,-0.6757952668298763,1.685449955398186,-0.09472404488073316,-0.19674168199260678,3.72153333245863e-05,0.0348247336722609,False
ACE2_HUMAN_Chan_2020,ESM2 (650M),0.225,650000000.0,ACE2_HUMAN_Chan_2020,1.97,Medium,ACE2_HUMAN,Human,805,Binding,-0.6757952668298763,-1.0136523012299485,0.5630985691253287,1.169554781542917,0.0025818789177121312,0.06922136495819126,False
ADRB2_HUMAN_Jones_2020,ESM2 (650M),0.493,650000000.0,ADRB2_HUMAN_Jones_2020,67.99,Medium,ADRB2_HUMAN,Human,413,Activity,-0.6757952668298763,0.5243265137825694,0.27325274041386116,0.5675454825203206,5.847841988115379e-06,0.028339642192159512,False
AICDA_HUMAN_Gajula_2014_3cycles,ESM2 (650M),0.328,650000000.0,AICDA_HUMAN_Gajula_2014_3cycles,18.4,Medium,AICDA_HUMAN,Human,198,Activity,-0.6757952668298763,-0.04330070438200506,-0.04603212098100906,-0.09560863790069171,0.0007431500666958469,0.02828364161669203,False
AMFR_HUMAN_Tsuboyama_2023_4G3O,ESM2 (650M),0.261,650000000.0,AMFR_HUMAN_Tsuboyama_2023_4G3O,26.51,Medium,AMFR_HUMAN,Human,47,Stability,-0.6757952668298763,0.11529120034155205,-0.6705994533068225,-1.3928339372862057,0.002656380908714829,0.023743728964220508,False
AMIE_PSEAE_Wrenbeck_2017,ESM2 (650M),0.557,650000000.0,AMIE_PSEAE_Wrenbeck_2017,89.1,Medium,AMIE_PSEAE,Prokaryote,346,Activity,-0.6757952668298763,0.6417591766453332,0.19637878755023674,0.4078784116424582,0.0005184424392578177,0.03547534047662504,False
ANCSZ_Hobbs_2022,ESM2 (650M),0.609,650000000.0,ANCSZ_Hobbs_2022,1.79,Medium,ANCSZ,Eukaryote,627,Activity,-0.6757952668298763,-1.0552654964116481,0.4545702295881764,0.9441416027530078,0.0026354128104819187,0.03851309021734822,False
ARGR_ECOLI_Tsuboyama_2023_1AOY,ESM2 (650M),0.497,650000000.0,ARGR_ECOLI_Tsuboyama_2023_1AOY,54.24,Medium,ARGR_ECOLI,Prokaryote,69,Stability,-0.6757952668298763,0.42620115346746545,-0.5038482205052848,-1.0464919070548913,2.1064313554753373e-06,0.026045012798814573,False
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,ESM2 (650M),0.27,650000000.0,B2L11_HUMAN_Dutta_2010_binding-Mcl-1,0.45,Low,B2L11_HUMAN,Human,198,Binding,-0.6757952668298763,-1.6549060136161977,-0.04603212098100906,-0.09560863790069171,3.9316994129952445e-05,0.07972653788096554,False
BBC1_YEAST_Tsuboyama_2023_1TG0,ESM2 (650M),0.479,650000000.0,BBC1_YEAST_Tsuboyama_2023_1TG0,271.76,High,BBC1_YEAST,Eukaryote,64,Stability,-0.6757952668298763,1.12606700647043,-0.5365173372586529,-1.114345607637074,0.0004304693425236711,0.02880463663716178,False
BCHB_CHLTE_Tsuboyama_2023_2KRU,ESM2 (650M),0.51,650000000.0,BCHB_CHLTE_Tsuboyama_2023_2KRU,51.95,Medium,BCHB_CHLTE,Prokaryote,52,Stability,-0.6757952668298763,0.40746702450165473,-0.6266939676077408,-1.3016423172913478,1.105899959949754e-05,0.025778908402464246,False
BLAT_ECOLX_Deng_2012,ESM2 (650M),0.528,650000000.0,BLAT_ECOLX_Deng_2012,177.98,High,BLAT_ECOLX,Prokaryote,286,OrganismalFitness,-0.6757952668298763,0.942252675042937,0.11366872188650312,0.2360897442888776,9.145235126148972e-05,0.02832468140570593,False
BLAT_ECOLX_Firnberg_2014,ESM2 (650M),0.737,650000000.0,BLAT_ECOLX_Firnberg_2014,177.98,High,BLAT_ECOLX,Prokaryote,286,OrganismalFitness,-0.6757952668298763,0.942252675042937,0.11366872188650312,0.2360897442888776,0.0031895633819085585,0.02832468140570593,False
BLAT_ECOLX_Jacquier_2013,ESM2 (650M),0.704,650000000.0,BLAT_ECOLX_Jacquier_2013,177.98,High,BLAT_ECOLX,Prokaryote,286,OrganismalFitness,-0.6757952668298763,0.942252675042937,0.11366872188650312,0.2360897442888776,0.002407755039411445,0.02832468140570593,False
BLAT_ECOLX_Stiffler_2015,ESM2 (650M),0.731,650000000.0,BLAT_ECOLX_Stiffler_2015,177.98,High,BLAT_ECOLX,Prokaryote,286,OrganismalFitness,-0.6757952668298763,0.942252675042937,0.11366872188650312,0.2360897442888776,0.003039254128780625,0.02832468140570593,False
BRCA1_HUMAN_Findlay_2018,ESM2 (650M),0.515,650000000.0,BRCA1_HUMAN_Findlay_2018,0.05,Low,BRCA1_HUMAN,Human,1863,OrganismalFitness,-0.6757952668298763,-2.6091485230555227,0.9275155436537026,1.926448225078204,0.0015057319877944744,0.041010800497359015,False
