assay,UniProt_ID,model,params,log_params,taxon,selection_type,seq_len,log_seq_len,MSA_Neff_L,log_msa_depth,MSA_Neff_L_category,upper_segment,rho
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Progen3 112m,112000000.0,8.049218022670182,Virus,OrganismalFitness,3423,3.534406899137877,1.63,0.21218760440395779,Medium,False,0.032
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Progen3 112m,112000000.0,8.049218022670182,Virus,OrganismalFitness,852,2.9304395947667,42.81,1.6315452278343094,Medium,False,0.409
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,Activity,161,2.2068258760318495,14.07,1.1482940974347458,Medium,False,-0.019
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,Activity,87,1.9395192526186185,0.1,-1.0,Low,False,0.047
A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,Progen3 112m,112000000.0,8.049218022670182,Virus,OrganismalFitness,565,2.7520484478194387,16.01,1.2043913319192998,Medium,False,0.441
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,Progen3 112m,112000000.0,8.049218022670182,Virus,OrganismalFitness,565,2.7520484478194387,16.01,1.2043913319192998,Medium,False,0.425
A4_HUMAN_Seuma_2022,A4_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Stability,770,2.886490725172482,0.08,-1.0969100130080565,Low,False,0.345
A4D664_9INFA_Soh_2019,A4D664_9INFA,Progen3 112m,112000000.0,8.049218022670182,Virus,OrganismalFitness,759,2.88024177589548,1.7,0.2304489213782739,Medium,False,0.337
A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,OrganismalFitness,266,2.424881636631067,120.61,2.081383317462285,High,False,0.447
AACC1_PSEAI_Dandage_2018,AACC1_PSEAI,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,OrganismalFitness,177,2.247973266361807,985.3,2.9935684827897275,High,False,0.247
ACE2_HUMAN_Chan_2020,ACE2_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Binding,805,2.9057958803678687,1.97,0.2944662261615929,Medium,False,0.072
ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Activity,413,2.615950051656401,67.99,1.832445041174111,Medium,False,0.452
AICDA_HUMAN_Gajula_2014_3cycles,AICDA_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Activity,198,2.296665190261531,18.4,1.2648178230095364,Medium,False,-0.242
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Stability,47,1.6720978579357175,26.51,1.4234097277330935,Medium,False,-0.257
AMIE_PSEAE_Wrenbeck_2017,AMIE_PSEAE,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,Activity,346,2.5390760987927767,89.1,1.9498777040368747,Medium,False,0.607
ANCSZ_Hobbs_2022,ANCSZ,Progen3 112m,112000000.0,8.049218022670182,Eukaryote,Activity,627,2.7972675408307164,1.79,0.2528530309798932,Medium,False,0.412
ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR_ECOLI,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,Stability,69,1.8388490907372552,54.24,1.734319680859007,Medium,False,0.371
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,B2L11_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Binding,198,2.296665190261531,0.45,-0.3467874862246563,Low,False,0.44
BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST,Progen3 112m,112000000.0,8.049218022670182,Eukaryote,Stability,64,1.806179973983887,271.76,2.4341855338619713,High,False,0.325
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,Stability,52,1.7160033436347992,51.95,1.7155855518931962,Medium,False,0.246
BLAT_ECOLX_Deng_2012,BLAT_ECOLX,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,OrganismalFitness,286,2.456366033129043,177.98,2.2503712024344784,High,False,0.354
BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,OrganismalFitness,286,2.456366033129043,177.98,2.2503712024344784,High,False,0.514
BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,OrganismalFitness,286,2.456366033129043,177.98,2.2503712024344784,High,False,0.519
BLAT_ECOLX_Stiffler_2015,BLAT_ECOLX,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,OrganismalFitness,286,2.456366033129043,177.98,2.2503712024344784,High,False,0.503
BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,OrganismalFitness,1863,3.2702128548962426,0.05,-1.3010299956639813,Low,False,0.145
BRCA2_HUMAN_Erwood_2022_HEK293T,BRCA2_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,OrganismalFitness,3418,3.533772058384718,0.02,-1.6989700043360187,Low,False,0.023
C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,Progen3 112m,112000000.0,8.049218022670182,Virus,OrganismalFitness,566,2.7528164311882715,16.0,1.2041199826559248,Medium,False,0.374
CALM1_HUMAN_Weile_2017,CALM1_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,OrganismalFitness,149,2.173186268412274,190.77,2.280510079703276,High,False,0.201
CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,Progen3 112m,112000000.0,8.049218022670182,Virus,OrganismalFitness,735,2.8662873390841948,0.26,-0.585026652029182,Low,False,0.197
CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,OrganismalFitness,1154,3.0622058088197126,0.04,-1.3979400086720375,Low,False,0.097
CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,OrganismalFitness,1154,3.0622058088197126,0.04,-1.3979400086720375,Low,False,0.048
CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,Activity,1368,3.1360860973840974,1.14,0.05690485133647256,Medium,False,0.116
CASP3_HUMAN_Roychowdhury_2020,CASP3_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Activity,258,2.41161970596323,111.55,2.0474695746198566,High,False,0.209
CASP7_HUMAN_Roychowdhury_2020,CASP7_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Activity,281,2.44870631990508,80.66,1.9066582176715998,Medium,False,0.206
CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE,Progen3 112m,112000000.0,8.049218022670182,Eukaryote,Stability,72,1.8573324964312685,1107.51,3.044347656272274,High,False,0.663
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Stability,72,1.8573324964312685,43.64,1.6398847419163043,Medium,False,0.37
CBS_HUMAN_Sun_2020,CBS_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,OrganismalFitness,551,2.741151598851785,3.5,0.5440680443502757,Medium,False,0.353
CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Stability,50,1.6989700043360187,269.65,2.430800424624181,High,False,-0.289
CCDB_ECOLI_Adkar_2012,CCDB_ECOLI,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,Activity,101,2.0043213737826426,168.82,2.227423895933663,High,False,-0.05
CCDB_ECOLI_Tripathi_2016,CCDB_ECOLI,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,OrganismalFitness,101,2.0043213737826426,168.82,2.227423895933663,High,False,-0.019
CCR5_HUMAN_Gill_2023,CCR5_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Binding,352,2.546542663478131,182.74,2.261833620575751,High,False,0.348
CD19_HUMAN_Klesmith_2019_FMC_singles,CD19_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Binding,556,2.7450747915820575,0.5,-0.3010299956639812,Low,False,0.039
CP2C9_HUMAN_Amorosi_2021_abundance,CP2C9_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Expression,490,2.690196080028514,165.48,2.2187455122234745,High,False,0.533
CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Binding,490,2.690196080028514,165.48,2.2187455122234745,High,False,0.558
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,Progen3 112m,112000000.0,8.049218022670182,Eukaryote,Stability,72,1.8573324964312685,48.23,1.6833172619218826,Medium,False,0.448
CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST,Progen3 112m,112000000.0,8.049218022670182,Eukaryote,Stability,52,1.7160033436347992,7.64,0.8830933585756899,Medium,False,0.142
D7PM05_CLYGR_Somermeyer_2022,D7PM05_CLYGR,Progen3 112m,112000000.0,8.049218022670182,Eukaryote,Activity,235,2.3710678622717363,0.6,-0.2218487496163564,Low,False,0.034
DLG4_HUMAN_Faure_2021,DLG4_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,OrganismalFitness,724,2.859738566197147,0.46,-0.3372421683184259,Low,False,0.67
DLG4_RAT_McLaughlin_2012,DLG4_RAT,Progen3 112m,112000000.0,8.049218022670182,Eukaryote,Binding,724,2.859738566197147,0.36,-0.44369749923271273,Low,False,0.383
DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,Stability,55,1.7403626894942439,24.82,1.394801777162711,Medium,False,0.023
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Stability,65,1.8129133566428555,547.68,2.7385268817938018,High,False,0.725
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,Progen3 112m,112000000.0,8.049218022670182,Eukaryote,Stability,66,1.8195439355418688,368.28,2.5661781344794474,High,False,0.21
DYR_ECOLI_Nguyen_2023,DYR_ECOLI,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,OrganismalFitness,159,2.2013971243204513,337.1,2.527758752520972,High,False,0.477
DYR_ECOLI_Thompson_2019,DYR_ECOLI,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,OrganismalFitness,159,2.2013971243204513,77.51,1.8893577368889316,Medium,False,0.368
ENV_HV1B9_DuenasDecamp_2016,ENV_HV1B9,Progen3 112m,112000000.0,8.049218022670182,Virus,OrganismalFitness,853,2.930949031167523,47.92,1.680516809381255,Medium,False,0.229
ENV_HV1BR_Haddox_2016,ENV_HV1BR,Progen3 112m,112000000.0,8.049218022670182,Virus,OrganismalFitness,861,2.935003151453655,43.39,1.637389650129212,Medium,False,0.303
ENVZ_ECOLI_Ghose_2023,ENVZ_ECOLI,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,Activity,60,1.7781512503836436,4595.33,3.6623167044126537,High,False,0.133
EPHB2_HUMAN_Tsuboyama_2023_1F0M,EPHB2_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Stability,66,1.8195439355418688,126.33,2.1015064961399275,High,False,-0.054
ERBB2_HUMAN_Elazar_2016,ERBB2_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Expression,1255,3.098643725817057,0.32,-0.494850021680094,Low,False,0.501
ESTA_BACSU_Nutschel_2020,ESTA_BACSU,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,Stability,212,2.326335860928751,313.28,2.495932670123044,High,False,0.253
F7YBW8_MESOW_Ding_2023,F7YBW8_MESOW,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,OrganismalFitness,93,1.968482948553935,176.23,2.2460798412237666,High,False,0.513
F7YBW8_MESOW_Aakre_2015,F7YBW8_MESOW,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,OrganismalFitness,93,1.968482948553935,176.23,2.2460798412237666,High,False,-0.082
FECA_ECOLI_Tsuboyama_2023_2D1U,FECA_ECOLI,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,Stability,72,1.8573324964312685,141.6,2.15106325335375,High,False,0.064
FKBP3_HUMAN_Tsuboyama_2023_2KFV,FKBP3_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Stability,69,1.8388490907372552,1.85,0.26717172840301384,Medium,False,0.121
GAL4_YEAST_Kitzman_2015,GAL4_YEAST,Progen3 112m,112000000.0,8.049218022670182,Eukaryote,OrganismalFitness,881,2.9449759084120477,10.02,1.000867721531227,Medium,False,0.257
GCN4_YEAST_Staller_2018,GCN4_YEAST,Progen3 112m,112000000.0,8.049218022670182,Eukaryote,Binding,281,2.44870631990508,0.66,-0.1804560644581313,Low,False,0.193
GDIA_HUMAN_Silverstein_2021,GDIA_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,OrganismalFitness,447,2.6503075231319366,0.8,-0.09691001300805639,Low,False,0.265
GFP_AEQVI_Sarkisyan_2016,GFP_AEQVI,Progen3 112m,112000000.0,8.049218022670182,Eukaryote,Activity,238,2.376576957056512,0.06,-1.2218487496163564,Low,False,0.091
GLPA_HUMAN_Elazar_2016,GLPA_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Expression,150,2.1760912590556813,0.51,-0.2924298239020636,Low,False,0.342
GRB2_HUMAN_Faure_2021,GRB2_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,OrganismalFitness,217,2.3364597338485296,6.78,0.8312296938670634,Medium,False,0.449
HCP_LAMBD_Tsuboyama_2023_2L6Q,HCP_LAMBD,Progen3 112m,112000000.0,8.049218022670182,Virus,Stability,55,1.7403626894942439,30.76,1.4879863311293935,Medium,False,0.373
HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Stability,72,1.8573324964312685,17.22,1.236033147117636,Medium,False,0.184
HEM3_HUMAN_Loggerenberg_2023,HEM3_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Activity,361,2.5575072019056577,32.84,1.5164031484474032,Medium,False,0.374
HIS7_YEAST_Pokusaeva_2019,HIS7_YEAST,Progen3 112m,112000000.0,8.049218022670182,Eukaryote,OrganismalFitness,220,2.342422680822206,23.97,1.3796680340336538,Medium,False,0.442
HMDH_HUMAN_Jiang_2019,HMDH_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,OrganismalFitness,888,2.948412965778601,0.58,-0.23657200643706275,Low,False,0.428
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST,Progen3 112m,112000000.0,8.049218022670182,Eukaryote,OrganismalFitness,709,2.8506462351830666,6.47,0.8109042806687004,Medium,False,0.307
HSP82_YEAST_Flynn_2019,HSP82_YEAST,Progen3 112m,112000000.0,8.049218022670182,Eukaryote,OrganismalFitness,709,2.8506462351830666,5.45,0.7363965022766424,Medium,False,0.381
HSP82_YEAST_Mishra_2016,HSP82_YEAST,Progen3 112m,112000000.0,8.049218022670182,Eukaryote,OrganismalFitness,709,2.8506462351830666,5.45,0.7363965022766424,Medium,False,0.522
HXK4_HUMAN_Gersing_2022_activity,HXK4_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,OrganismalFitness,465,2.667452952889954,4.99,0.69810054562339,Medium,False,0.368
HXK4_HUMAN_Gersing_2023_abundance,HXK4_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Expression,465,2.667452952889954,5.38,0.7307822756663892,Medium,False,0.153
I6TAH8_I68A0_Doud_2015,I6TAH8_I68A0,Progen3 112m,112000000.0,8.049218022670182,Virus,OrganismalFitness,498,2.6972293427597176,2.15,0.33243845991560533,Medium,False,0.319
